"survey_com_code_id";"survey_com_code_rank";"com_code";"com_code_grp";"survey_id"
128;0;"DI00";"DISEASE";54
129;0;"DI01";"DISEASE";55
130;0;"DI03";"DISEASE";55
131;0;"DI04";"DISEASE";55
132;0;"DI05";"DISEASE";55
133;0;"DI06";"DISEASE";55
134;0;"DI01";"DISEASE";56
135;0;"DI04";"DISEASE";56
136;0;"DI05";"DISEASE";56
137;0;"DI06";"DISEASE";56
138;0;"DI07";"DISEASE";56
139;0;"DI01";"DISEASE";57
140;0;"DI13";"DISEASE";57
141;0;"DI03";"DISEASE";58
142;0;"DI06";"DISEASE";58
143;0;"DI07";"DISEASE";59
144;0;"DI02";"DISEASE";60
145;0;"DI04";"DISEASE";60
146;0;"DI05";"DISEASE";60
147;0;"DI13";"DISEASE";60
148;0;"DI07";"DISEASE";61
149;0;"DI02";"DISEASE";62
150;0;"DI03";"DISEASE";62
151;0;"DI05";"DISEASE";62
152;0;"DI06";"DISEASE";62
153;0;"DI07";"DISEASE";63
154;0;"DI07";"DISEASE";64
155;0;"DI00";"DISEASE";65
156;0;"DI00";"DISEASE";66
157;0;"DI00";"DISEASE";67
158;0;"DI00";"DISEASE";68
159;0;"DI00";"DISEASE";69
160;0;"DI00";"DISEASE";70
161;0;"DI00";"DISEASE";71
162;0;"DI00";"DISEASE";72
163;0;"DI00";"DISEASE";73
164;0;"DI03";"DISEASE";74
165;0;"DI03";"DISEASE";75
166;0;"DI07";"DISEASE";75
167;0;"DI07";"DISEASE";76
168;0;"DI13";"DISEASE";76
169;0;"DI00";"DISEASE";77
170;0;"DI00";"DISEASE";78
171;0;"DI00";"DISEASE";79
172;0;"DI00";"DISEASE";80
173;0;"DI00";"DISEASE";81
174;0;"DI01";"DISEASE";82
175;0;"DI13";"DISEASE";82
176;0;"DI00";"DISEASE";83
177;0;"DI00";"DISEASE";84
178;0;"DI13";"DISEASE";85
179;0;"DI01";"DISEASE";86
180;0;"DI03";"DISEASE";86
181;0;"DI05";"DISEASE";86
182;0;"DI06";"DISEASE";86
183;0;"DI07";"DISEASE";87
184;0;"DI01";"DISEASE";88
185;0;"DI02";"DISEASE";88
186;0;"DI03";"DISEASE";88
187;0;"DI09";"DISEASE";88
188;0;"DI00";"DISEASE";89
189;0;"DI01";"DISEASE";90
190;0;"DI05";"DISEASE";90
191;0;"DI06";"DISEASE";90
192;0;"DI03";"DISEASE";91
193;0;"DI04";"DISEASE";91
194;0;"DI00";"DISEASE";92
195;0;"DI00";"DISEASE";93
196;0;"DI01";"DISEASE";94
197;0;"DI02";"DISEASE";94
198;0;"DI04";"DISEASE";94
199;0;"DI13";"DISEASE";94
200;0;"DI01";"DISEASE";95
201;0;"DI01";"DISEASE";96
202;0;"DI07";"DISEASE";97
203;0;"DI01";"DISEASE";98
204;0;"DI03";"DISEASE";98
205;0;"DI06";"DISEASE";98
206;0;"DI07";"DISEASE";98
207;0;"DI03";"DISEASE";99
208;0;"DI06";"DISEASE";99
209;0;"DI07";"DISEASE";99
210;0;"DI02";"DISEASE";100
211;0;"DI01";"DISEASE";101
212;0;"DI00";"DISEASE";102
213;0;"DI00";"DISEASE";103
214;0;"DI05";"DISEASE";104
215;0;"DI07";"DISEASE";105
216;0;"DI11";"DISEASE";105
217;0;"DI02";"DISEASE";106
218;0;"DI03";"DISEASE";106
219;0;"DI07";"DISEASE";106
220;0;"DI12";"DISEASE";106
221;0;"DI13";"DISEASE";107
222;0;"DI00";"DISEASE";108
223;0;"DI00";"DISEASE";109
224;0;"DI00";"DISEASE";110
225;0;"DI00";"DISEASE";111
226;0;"DI01";"DISEASE";112
227;0;"DI02";"DISEASE";112
228;0;"DI12";"DISEASE";113
229;0;"DI05";"DISEASE";114
230;0;"DI01";"DISEASE";115
231;0;"DI03";"DISEASE";115
232;0;"DI04";"DISEASE";115
233;0;"DI08";"DISEASE";115
234;0;"DI00";"DISEASE";116
235;0;"DI02";"DISEASE";117
236;0;"DI05";"DISEASE";118
237;0;"DI06";"DISEASE";118
238;0;"DI07";"DISEASE";118
239;0;"DI03";"DISEASE";119
240;0;"DI00";"DISEASE";120
241;0;"DI06";"DISEASE";121
242;0;"DI00";"DISEASE";122
243;0;"DI05";"DISEASE";123
244;0;"DI10";"DISEASE";124
245;0;"DI13";"DISEASE";124
246;0;"DI01";"DISEASE";125
247;0;"DI02";"DISEASE";125
248;0;"DI03";"DISEASE";126
249;0;"DI01";"DISEASE";127
250;0;"DI06";"DISEASE";127
251;0;"DI03";"DISEASE";128
252;0;"DI07";"DISEASE";129
253;0;"DI00";"DISEASE";130
254;0;"DI07";"DISEASE";131
255;0;"DI00";"DISEASE";132
256;0;"DI00";"DISEASE";133
257;0;"DI00";"DISEASE";134
258;0;"DI01";"DISEASE";135
259;0;"DI00";"DISEASE";136
260;0;"DI00";"DISEASE";137
261;0;"DI01";"DISEASE";138
262;0;"DI02";"DISEASE";138
263;0;"DI03";"DISEASE";138
264;0;"DI06";"DISEASE";138
265;0;"DI01";"DISEASE";139
266;0;"DI02";"DISEASE";139
267;0;"DI03";"DISEASE";140
268;0;"DI05";"DISEASE";140
269;0;"DI06";"DISEASE";140
270;0;"DI07";"DISEASE";140
271;0;"DI03";"DISEASE";141
272;0;"DI07";"DISEASE";142
273;0;"DI03";"DISEASE";143
274;0;"DI07";"DISEASE";144
275;0;"DI13";"DISEASE";144
276;0;"DI00";"DISEASE";145
277;0;"DI01";"DISEASE";146
278;0;"DI03";"DISEASE";146
279;0;"DI06";"DISEASE";146
280;0;"DI10";"DISEASE";146
281;0;"DI01";"DISEASE";147
282;0;"DI05";"DISEASE";147
283;0;"DI06";"DISEASE";147
284;0;"DI03";"DISEASE";148
285;0;"DI04";"DISEASE";148
286;0;"DI06";"DISEASE";148
287;0;"DI09";"DISEASE";149
288;0;"DI01";"DISEASE";150
289;0;"DI01";"DISEASE";151
290;0;"DI02";"DISEASE";151
291;0;"DI00";"DISEASE";152
292;0;"DI01";"DISEASE";153
293;0;"DI00";"DISEASE";154
294;0;"DI00";"DISEASE";155
295;0;"DI01";"DISEASE";156
296;0;"DI09";"DISEASE";156
297;0;"DI00";"DISEASE";157
298;0;"DI07";"DISEASE";158
299;0;"DI02";"DISEASE";159
300;0;"DI10";"DISEASE";159
301;0;"DI00";"DISEASE";160
302;0;"DI04";"DISEASE";161
303;0;"DI03";"DISEASE";162
304;0;"DI02";"DISEASE";163
305;0;"DI05";"DISEASE";163
306;0;"DI06";"DISEASE";163
307;0;"DI01";"DISEASE";164
308;0;"DI07";"DISEASE";164
309;0;"DI10";"DISEASE";164
310;0;"DI03";"DISEASE";165
311;0;"DI00";"DISEASE";166
312;0;"DI00";"DISEASE";167
313;0;"DI02";"DISEASE";168
314;0;"DI06";"DISEASE";169
315;0;"DI01";"DISEASE";170
316;0;"DI02";"DISEASE";170
317;0;"DI05";"DISEASE";171
318;0;"DI13";"DISEASE";171
319;0;"DI04";"DISEASE";172
320;0;"DI05";"DISEASE";172
321;0;"DI06";"DISEASE";172
322;0;"DI13";"DISEASE";172
323;0;"DI00";"DISEASE";173
324;0;"DI02";"DISEASE";174
325;0;"DI01";"DISEASE";175
326;0;"DI05";"DISEASE";176
327;0;"DI03";"DISEASE";177
328;0;"DI05";"DISEASE";177
329;0;"DI01";"DISEASE";178
330;0;"DI00";"DISEASE";179
331;0;"DI02";"DISEASE";180
332;0;"DI00";"DISEASE";181
333;0;"DI00";"DISEASE";182
334;0;"DI01";"DISEASE";183
335;0;"DI02";"DISEASE";183
336;0;"DI03";"DISEASE";183
337;0;"DI06";"DISEASE";183
338;0;"DI03";"DISEASE";184
339;0;"DI04";"DISEASE";184
340;0;"DI07";"DISEASE";184
341;0;"DI11";"DISEASE";184
342;0;"DI02";"DISEASE";185
343;0;"DI00";"DISEASE";186
344;0;"DI00";"DISEASE";187
345;0;"DI05";"DISEASE";188
346;0;"DI07";"DISEASE";188
347;0;"DI01";"DISEASE";189
348;0;"DI06";"DISEASE";189
349;0;"DI11";"DISEASE";189
350;0;"DI02";"DISEASE";190
351;0;"DI03";"DISEASE";190
352;0;"DI06";"DISEASE";190
353;0;"DI07";"DISEASE";190
354;0;"DI03";"DISEASE";191
355;0;"DI01";"DISEASE";192
356;0;"DI07";"DISEASE";192
357;0;"DI01";"DISEASE";193
358;0;"DI07";"DISEASE";193
359;0;"DI10";"DISEASE";194
360;0;"DI17";"DISEASE";194
361;0;"DI09";"DISEASE";195
362;0;"DI11";"DISEASE";196
363;0;"DI00";"DISEASE";197
364;0;"DI06";"DISEASE";198
365;0;"DI07";"DISEASE";198
366;0;"DI09";"DISEASE";199
367;0;"DI00";"DISEASE";200
368;0;"DI02";"DISEASE";201
369;0;"DI07";"DISEASE";201
370;0;"DI00";"DISEASE";202
371;0;"DI00";"DISEASE";203
372;0;"DI01";"DISEASE";204
373;0;"DI02";"DISEASE";204
374;0;"DI10";"DISEASE";204
375;0;"DI00";"DISEASE";205
376;0;"DI00";"DISEASE";206
377;0;"DI00";"DISEASE";207
378;0;"DI00";"DISEASE";208
379;0;"DI00";"DISEASE";209
380;0;"DI00";"DISEASE";210
381;0;"DI06";"DISEASE";211
382;0;"DI07";"DISEASE";212
383;0;"DI01";"DISEASE";213
384;0;"DI13";"DISEASE";214
385;0;"DI00";"DISEASE";215
386;0;"DI07";"DISEASE";216
387;0;"DI02";"DISEASE";217
388;0;"DI06";"DISEASE";217
389;0;"DI01";"DISEASE";218
390;0;"DI03";"DISEASE";218
391;0;"DI02";"DISEASE";219
392;0;"DI03";"DISEASE";219
393;0;"DI05";"DISEASE";219
394;0;"DI00";"DISEASE";220
395;0;"DI01";"DISEASE";221
396;0;"DI01";"DISEASE";222
397;0;"DI02";"DISEASE";222
398;0;"DI03";"DISEASE";222
399;0;"DI05";"DISEASE";222
400;0;"DI14";"DISEASE";222
401;0;"DI03";"DISEASE";223
402;0;"DI04";"DISEASE";223
403;0;"DI05";"DISEASE";223
404;0;"DI17";"DISEASE";224
405;0;"DI00";"DISEASE";225
406;0;"DI01";"DISEASE";226
407;0;"DI03";"DISEASE";226
408;0;"DI00";"DISEASE";227
409;0;"DI00";"DISEASE";228
410;0;"DI00";"DISEASE";229
411;0;"DI00";"DISEASE";230
412;0;"DI04";"DISEASE";231
413;0;"DI07";"DISEASE";231
414;0;"DI00";"DISEASE";232
415;0;"DI01";"DISEASE";233
416;0;"DI01";"DISEASE";234
417;0;"DI04";"DISEASE";234
418;0;"DI05";"DISEASE";234
419;0;"DI06";"DISEASE";234
420;0;"DI07";"DISEASE";235
421;0;"DI00";"DISEASE";236
422;0;"DI01";"DISEASE";237
423;0;"DI05";"DISEASE";237
424;0;"DI06";"DISEASE";238
425;0;"DI07";"DISEASE";238
426;0;"DI00";"DISEASE";239
427;0;"DI03";"DISEASE";240
428;0;"DI01";"DISEASE";241
429;0;"DI02";"DISEASE";241
430;0;"DI03";"DISEASE";241
431;0;"DI06";"DISEASE";241
432;0;"DI07";"DISEASE";241
433;0;"DI01";"DISEASE";242
434;0;"DI04";"DISEASE";242
435;0;"DI05";"DISEASE";242
436;0;"DI06";"DISEASE";242
437;0;"DI01";"DISEASE";243
438;0;"DI03";"DISEASE";243
439;0;"DI02";"DISEASE";244
440;0;"DI12";"DISEASE";244
441;0;"DI01";"DISEASE";245
442;0;"DI06";"DISEASE";246
443;0;"DI07";"DISEASE";246
444;0;"DI01";"DISEASE";247
445;0;"DI06";"DISEASE";248
446;0;"DI00";"DISEASE";249
447;0;"DI01";"DISEASE";250
448;0;"DI02";"DISEASE";250
449;0;"DI01";"DISEASE";251
450;0;"DI06";"DISEASE";251
451;0;"DI13";"DISEASE";252
452;0;"DI00";"DISEASE";253
453;0;"DI00";"DISEASE";254
454;0;"DI06";"DISEASE";255
455;0;"DI00";"DISEASE";256
456;0;"DI03";"DISEASE";257
457;0;"DI07";"DISEASE";257
458;0;"DI17";"DISEASE";257
459;0;"DI05";"DISEASE";258
460;0;"DI00";"DISEASE";259
461;0;"DI01";"DISEASE";260
462;0;"DI13";"DISEASE";260
463;0;"DI03";"DISEASE";261
464;0;"DI06";"DISEASE";261
465;0;"DI02";"DISEASE";262
466;0;"DI01";"DISEASE";263
467;0;"DI06";"DISEASE";263
468;0;"DI00";"DISEASE";264
469;0;"DI00";"DISEASE";265
470;0;"DI02";"DISEASE";266
471;0;"DI07";"DISEASE";266
472;0;"DI00";"DISEASE";267
473;0;"DI07";"DISEASE";268
474;0;"DI03";"DISEASE";269
475;0;"DI01";"DISEASE";270
476;0;"DI07";"DISEASE";271
477;0;"DI07";"DISEASE";272
478;0;"DI01";"DISEASE";273
479;0;"DI05";"DISEASE";273
480;0;"DI06";"DISEASE";273
481;0;"DI04";"DISEASE";274
482;0;"DI07";"DISEASE";274
483;0;"DI02";"DISEASE";275
484;0;"DI13";"DISEASE";275
485;0;"DI00";"DISEASE";276
486;0;"DI00";"DISEASE";277
487;0;"DI07";"DISEASE";278
488;0;"DI01";"DISEASE";279
489;0;"DI02";"DISEASE";279
490;0;"DI07";"DISEASE";279
491;0;"DI01";"DISEASE";280
492;0;"DI00";"DISEASE";281
493;0;"DI01";"DISEASE";282
494;0;"DI02";"DISEASE";283
495;0;"DI06";"DISEASE";283
496;0;"DI02";"DISEASE";284
497;0;"DI06";"DISEASE";285
498;0;"DI07";"DISEASE";285
499;0;"DI07";"DISEASE";286
500;0;"DI00";"DISEASE";287
501;0;"DI00";"DISEASE";288
502;0;"DI01";"DISEASE";289
503;0;"DI05";"DISEASE";289
504;0;"DI07";"DISEASE";289
505;0;"DI05";"DISEASE";290
506;0;"DI06";"DISEASE";290
507;0;"DI07";"DISEASE";291
508;0;"DI00";"DISEASE";292
509;0;"DI04";"DISEASE";293
510;0;"DI13";"DISEASE";293
511;0;"DI17";"DISEASE";293
512;0;"DI07";"DISEASE";294
513;0;"DI00";"DISEASE";295
514;0;"DI02";"DISEASE";296
515;0;"DI06";"DISEASE";296
516;0;"DI04";"DISEASE";297
517;0;"DI13";"DISEASE";297
518;0;"DI10";"DISEASE";298
519;0;"DI00";"DISEASE";299
520;0;"DI00";"DISEASE";300
521;0;"DI00";"DISEASE";301
522;0;"DI03";"DISEASE";302
523;0;"DI05";"DISEASE";302
524;0;"DI07";"DISEASE";302
525;0;"DI03";"DISEASE";303
526;0;"DI00";"DISEASE";304
527;0;"DI07";"DISEASE";305
528;0;"DI07";"DISEASE";306
529;0;"DI06";"DISEASE";307
530;0;"DI02";"DISEASE";308
531;0;"DI04";"DISEASE";308
532;0;"DI06";"DISEASE";308
533;0;"DI11";"DISEASE";308
534;0;"DI03";"DISEASE";309
535;0;"DI06";"DISEASE";309
536;0;"DI10";"DISEASE";309
537;0;"DI05";"DISEASE";310
538;0;"DI02";"DISEASE";311
539;0;"DI07";"DISEASE";311
540;0;"DI17";"DISEASE";312
541;0;"DI00";"DISEASE";313
542;0;"DI00";"DISEASE";314
543;0;"DI02";"DISEASE";315
544;0;"DI03";"DISEASE";315
545;0;"DI02";"DISEASE";316
546;0;"DI06";"DISEASE";316
547;0;"DI07";"DISEASE";316
548;0;"DI02";"DISEASE";317
549;0;"DI03";"DISEASE";317
550;0;"DI00";"DISEASE";318
551;0;"DI02";"DISEASE";319
552;0;"DI06";"DISEASE";320
553;0;"DI07";"DISEASE";320
554;0;"DI01";"DISEASE";321
555;0;"DI02";"DISEASE";321
556;0;"DI03";"DISEASE";321
557;0;"DI05";"DISEASE";321
558;0;"DI01";"DISEASE";322
559;0;"DI00";"DISEASE";323
560;0;"DI03";"DISEASE";324
561;0;"DI00";"DISEASE";325
562;0;"DI00";"DISEASE";326
563;0;"DI00";"DISEASE";327
564;0;"DI00";"DISEASE";328
565;0;"DI01";"DISEASE";329
566;0;"DI01";"DISEASE";330
567;0;"DI06";"DISEASE";330
568;0;"DI02";"DISEASE";331
569;0;"DI03";"DISEASE";331
570;0;"DI04";"DISEASE";331
571;0;"DI01";"DISEASE";332
572;0;"DI01";"DISEASE";333
573;0;"DI00";"DISEASE";334
574;0;"DI01";"DISEASE";335
575;0;"DI05";"DISEASE";336
576;0;"DI06";"DISEASE";336
577;0;"DI01";"DISEASE";337
578;0;"DI06";"DISEASE";337
579;0;"DI01";"DISEASE";338
580;0;"DI13";"DISEASE";338
581;0;"DI00";"DISEASE";339
582;0;"DI02";"DISEASE";340
583;0;"DI01";"DISEASE";341
584;0;"DI02";"DISEASE";341
585;0;"DI01";"DISEASE";342
586;0;"DI13";"DISEASE";342
587;0;"DI00";"DISEASE";343
588;0;"DI00";"DISEASE";344
589;0;"DI07";"DISEASE";345
590;0;"DI01";"DISEASE";346
591;0;"DI02";"DISEASE";346
592;0;"DI03";"DISEASE";346
593;0;"DI06";"DISEASE";346
594;0;"DI07";"DISEASE";346
595;0;"DI08";"DISEASE";346
596;0;"DI12";"DISEASE";346
597;0;"DI02";"DISEASE";347
598;0;"DI04";"DISEASE";347
599;0;"DI03";"DISEASE";348
600;0;"DI01";"DISEASE";349
601;0;"DI03";"DISEASE";349
602;0;"DI06";"DISEASE";349
603;0;"DI07";"DISEASE";349
604;0;"DI01";"DISEASE";350
605;0;"DI03";"DISEASE";350
606;0;"DI04";"DISEASE";350
607;0;"DI07";"DISEASE";350
608;0;"DI17";"DISEASE";350
609;0;"DI01";"DISEASE";351
610;0;"DI00";"DISEASE";352
611;0;"DI01";"DISEASE";353
612;0;"DI02";"DISEASE";353
613;0;"DI06";"DISEASE";353
614;0;"DI07";"DISEASE";353
615;0;"DI02";"DISEASE";354
616;0;"DI04";"DISEASE";354
617;0;"DI05";"DISEASE";354
618;0;"DI07";"DISEASE";354
619;0;"DI09";"DISEASE";354
620;0;"DI00";"DISEASE";355
621;0;"DI03";"DISEASE";356
622;0;"DI07";"DISEASE";356
623;0;"DI05";"DISEASE";357
624;0;"DI07";"DISEASE";357
625;0;"DI08";"DISEASE";357
626;0;"DI01";"DISEASE";358
627;0;"DI02";"DISEASE";358
628;0;"DI07";"DISEASE";359
629;0;"DI00";"DISEASE";360
630;0;"DI01";"DISEASE";361
631;0;"DI05";"DISEASE";361
632;0;"DI07";"DISEASE";361
633;0;"DI10";"DISEASE";361
634;0;"DI02";"DISEASE";362
635;0;"DI03";"DISEASE";362
636;0;"DI07";"DISEASE";363
637;0;"DI10";"DISEASE";363
638;0;"DI12";"DISEASE";363
639;0;"DI04";"DISEASE";364
640;0;"DI02";"DISEASE";365
641;0;"DI03";"DISEASE";366
642;0;"DI10";"DISEASE";366
643;0;"DI00";"DISEASE";367
644;0;"DI05";"DISEASE";368
645;0;"DI06";"DISEASE";368
646;0;"DI03";"DISEASE";369
647;0;"DI00";"DISEASE";370
648;0;"DI02";"DISEASE";371
649;0;"DI01";"DISEASE";372
650;0;"DI07";"DISEASE";372
651;0;"DI00";"DISEASE";373
652;0;"DI01";"DISEASE";374
653;0;"DI00";"DISEASE";375
654;0;"DI05";"DISEASE";376
655;0;"DI06";"DISEASE";376
656;0;"DI07";"DISEASE";376
657;0;"DI01";"DISEASE";377
658;0;"DI07";"DISEASE";377
659;0;"DI12";"DISEASE";377
660;0;"DI04";"DISEASE";378
661;0;"DI01";"DISEASE";379
662;0;"DI00";"DISEASE";380
663;0;"DI01";"DISEASE";381
664;0;"DI00";"DISEASE";382
665;0;"DI03";"DISEASE";383
666;0;"DI10";"DISEASE";384
667;0;"DI01";"DISEASE";385
668;0;"DI06";"DISEASE";385
669;0;"DI10";"DISEASE";385
670;0;"DI06";"DISEASE";386
671;0;"DI07";"DISEASE";386
672;0;"DI01";"DISEASE";387
673;0;"DI03";"DISEASE";387
674;0;"DI00";"DISEASE";388
675;0;"DI01";"DISEASE";389
676;0;"DI02";"DISEASE";389
677;0;"DI03";"DISEASE";389
678;0;"DI04";"DISEASE";389
679;0;"DI06";"DISEASE";389
680;0;"DI00";"DISEASE";390
681;0;"DI01";"DISEASE";391
682;0;"DI02";"DISEASE";391
683;0;"DI01";"DISEASE";392
684;0;"DI03";"DISEASE";393
685;0;"DI07";"DISEASE";393
686;0;"DI06";"DISEASE";394
687;0;"DI00";"DISEASE";395
688;0;"DI00";"DISEASE";396
689;0;"DI03";"DISEASE";397
690;0;"DI06";"DISEASE";397
691;0;"DI01";"DISEASE";398
692;0;"DI03";"DISEASE";399
693;0;"DI02";"DISEASE";400
694;0;"DI03";"DISEASE";400
695;0;"DI03";"DISEASE";401
696;0;"DI04";"DISEASE";401
697;0;"DI07";"DISEASE";401
698;0;"DI01";"DISEASE";402
699;0;"DI06";"DISEASE";403
700;0;"DI00";"DISEASE";404
701;0;"DI00";"DISEASE";405
702;0;"DI00";"DISEASE";406
703;0;"DI01";"DISEASE";407
704;0;"DI13";"DISEASE";407
705;0;"DI17";"DISEASE";407
706;0;"DI06";"DISEASE";408
707;0;"DI01";"DISEASE";409
708;0;"DI01";"DISEASE";410
709;0;"DI03";"DISEASE";410
710;0;"DI06";"DISEASE";410
711;0;"DI07";"DISEASE";410
712;0;"DI10";"DISEASE";410
713;0;"DI01";"DISEASE";411
714;0;"DI02";"DISEASE";412
715;0;"DI03";"DISEASE";412
716;0;"DI05";"DISEASE";412
717;0;"DI07";"DISEASE";412
718;0;"DI08";"DISEASE";412
719;0;"DI14";"DISEASE";412
720;0;"DI03";"DISEASE";413
721;0;"DI06";"DISEASE";413
722;0;"DI07";"DISEASE";413
723;0;"DI13";"DISEASE";413
724;0;"DI03";"DISEASE";414
725;0;"DI04";"DISEASE";414
726;0;"DI08";"DISEASE";414
727;0;"DI01";"DISEASE";415
728;0;"DI02";"DISEASE";415
729;0;"DI06";"DISEASE";415
730;0;"DI07";"DISEASE";415
731;0;"DI05";"DISEASE";416
732;0;"DI06";"DISEASE";416
733;0;"DI08";"DISEASE";416
734;0;"DI14";"DISEASE";416
735;0;"DI09";"DISEASE";417
736;0;"DI04";"DISEASE";418
737;0;"DI12";"DISEASE";418
738;0;"DI13";"DISEASE";419
739;0;"DI02";"DISEASE";420
740;0;"DI00";"DISEASE";421
741;0;"DI02";"DISEASE";422
742;0;"DI06";"DISEASE";422
743;0;"DI07";"DISEASE";422
744;0;"DI08";"DISEASE";422
745;0;"DI01";"DISEASE";423
746;0;"DI07";"DISEASE";423
747;0;"DI01";"DISEASE";424
748;0;"DI05";"DISEASE";424
749;0;"DI06";"DISEASE";424
750;0;"DI07";"DISEASE";424
751;0;"DI00";"DISEASE";425
752;0;"DI01";"DISEASE";426
753;0;"DI07";"DISEASE";427
754;0;"DI01";"DISEASE";428
755;0;"DI03";"DISEASE";428
756;0;"DI07";"DISEASE";428
757;0;"DI00";"DISEASE";429
758;0;"DI03";"DISEASE";430
759;0;"DI01";"DISEASE";431
760;0;"DI07";"DISEASE";431
761;0;"DI01";"DISEASE";432
762;0;"DI02";"DISEASE";432
763;0;"DI06";"DISEASE";432
764;0;"DI07";"DISEASE";432
765;0;"DI01";"DISEASE";433
766;0;"DI03";"DISEASE";433
767;0;"DI06";"DISEASE";433
768;0;"DI07";"DISEASE";433
769;0;"DI09";"DISEASE";434
770;0;"DI02";"DISEASE";435
771;0;"DI03";"DISEASE";435
772;0;"DI08";"DISEASE";435
773;0;"DI02";"DISEASE";436
